Date,Service,Direction,Langue,Record_count
09-01-2019,Chat,direct,fr,109
10-01-2019,Call,direct,fr,182
10-01-2019,Chat,direct,fr,122
11-01-2019,Chat,direct,fr,27
14-01-2019,Call,direct,fr,259
14-01-2019,Chat,direct,fr,78
14-01-2019,SMS,direct,fr,213
15-01-2019,Call,direct,fr,236
15-01-2019,Chat,direct,fr,149
16-01-2019,Call,direct,fr,233
16-01-2019,Chat,direct,fr,139
17-01-2019,Call,direct,fr,188
17-01-2019,Chat,direct,fr,153
18-01-2019,Chat,direct,fr,56
21-01-2019,Call,direct,fr,243
21-01-2019,Chat,direct,fr,88
21-01-2019,SMS,direct,fr,246
22-01-2019,Call,direct,fr,255
22-01-2019,Chat,direct,fr,183
23-01-2019,Call,direct,fr,257
23-01-2019,Chat,direct,fr,108
24-01-2019,Call,direct,fr,150
24-01-2019,Chat,direct,fr,79
25-01-2019,Chat,direct,fr,25
28-01-2019,Call,direct,fr,213
28-01-2019,Chat,direct,fr,88
28-01-2019,SMS,direct,fr,227
29-01-2019,Call,direct,fr,263
29-01-2019,Chat,direct,fr,127
30-01-2019,Call,direct,fr,225
30-01-2019,Chat,direct,fr,126
31-01-2019,Call,direct,fr,179
31-01-2019,Chat,direct,fr,104
01-02-2019,Chat,direct,fr,49
04-02-2019,Call,direct,fr,251
04-02-2019,Chat,direct,fr,88
04-02-2019,SMS,direct,fr,251
05-02-2019,Call,direct,fr,249
05-02-2019,Chat,direct,fr,120
06-02-2019,Call,direct,fr,212
06-02-2019,Chat,direct,fr,120
07-02-2019,Call,direct,fr,115
07-02-2019,Chat,direct,fr,134
08-02-2019,Chat,direct,fr,32
11-02-2019,Call,direct,fr,207
11-02-2019,Chat,direct,fr,68
11-02-2019,SMS,direct,fr,192
12-02-2019,Call,direct,fr,166
12-02-2019,Chat,direct,fr,111
13-02-2019,Call,direct,fr,136
13-02-2019,Chat,direct,fr,71
14-02-2019,Call,direct,fr,95
14-02-2019,Chat,direct,fr,66
15-02-2019,Chat,direct,fr,44
18-02-2019,Call,direct,fr,185
18-02-2019,Chat,direct,fr,91
18-02-2019,SMS,direct,fr,178
